variable,label,group,n_near,n_far,near_mean,far_mean,far_std,effect_raw,effect_z,ci95_z,pearson_r_cld_dist
dk2_o2a,Δvar($\mathcal{l}′$) O$_2$A (obs-ref),urban,560,5279,-0.021501248702406883,-0.033560287207365036,0.41652342677116394,0.012059038504958153,0.028951645285448333,0.08394332793582693,0.1853486209275872
dk2_o2a,Δvar($\mathcal{l}′$) O$_2$A (obs-ref),snow_ice,411,46,,,,,,,
dk1_wco2,Δ$\langle \mathcal{l}′ \rangle$ WCO$_2$ (obs-ref),ocean,1323704,150088,-0.0005774929886683822,-0.0003004939353559166,0.016659386456012726,-0.00027699905331246555,-0.0166272061725593,0.005983351576598232,0.008925185691793295
dk1_wco2,Δ$\langle \mathcal{l}′ \rangle$ WCO$_2$ (obs-ref),forest,4508,7339,0.03038582019507885,0.011933580040931702,0.06218036264181137,0.018452240154147148,0.2967534985352349,0.04299472351473638,-0.0039728974027867904
dk1_wco2,Δ$\langle \mathcal{l}′ \rangle$ WCO$_2$ (obs-ref),savanna,9446,17503,0.022609857842326164,0.003574243513867259,0.03521723300218582,0.019035615026950836,0.5405198933649715,0.03788116412356665,-0.10442222379505904
dk1_wco2,Δ$\langle \mathcal{l}′ \rangle$ WCO$_2$ (obs-ref),shrubland,9296,18548,0.016892358660697937,0.0020026275888085365,0.0258161723613739,0.0148897310718894,0.5767598257194542,0.04147790122216873,-0.11409442539813201
dk1_wco2,Δ$\langle \mathcal{l}′ \rangle$ WCO$_2$ (obs-ref),grassland,18792,48614,0.01794399507343769,0.001959902932867408,0.034310232847929,0.01598409190773964,0.4658695258229486,0.024935360212008945,-0.041628280185459686
dk1_wco2,Δ$\langle \mathcal{l}′ \rangle$ WCO$_2$ (obs-ref),cropland,10706,33170,0.00786551833152771,0.0013564612017944455,0.026176873594522476,0.006509057246148586,0.24865678564114738,0.043462869341255,0.05351145457305253
dk1_wco2,Δ$\langle \mathcal{l}′ \rangle$ WCO$_2$ (obs-ref),barren,23384,150866,0.008697603829205036,0.0003198333433829248,0.01795351505279541,0.008377770893275738,0.4666368044719631,0.03669457854621776,-0.08824471876984315
dk1_wco2,Δ$\langle \mathcal{l}′ \rangle$ WCO$_2$ (obs-ref),urban,560,5279,0.0019559208303689957,-0.023959720507264137,0.16715805232524872,0.025915641337633133,0.15503675100980255,0.04057602348395454,0.11768509456019738
dk1_wco2,Δ$\langle \mathcal{l}′ \rangle$ WCO$_2$ (obs-ref),snow_ice,411,46,,,,,,,
dk2_wco2,Δvar($\mathcal{l}′$) WCO$_2$ (obs-ref),ocean,1323704,150088,0.021115019917488098,-0.0018235056195408106,0.13371828198432922,0.022938525304198265,0.17154367348876415,0.005839032171033585,-0.03619240188008991
dk2_wco2,Δvar($\mathcal{l}′$) WCO$_2$ (obs-ref),forest,4508,7339,0.2656298875808716,0.0967133417725563,0.46696653962135315,0.16891655325889587,0.3617315994329367,0.04396355157323182,-0.017396585732572804
dk2_wco2,Δvar($\mathcal{l}′$) WCO$_2$ (obs-ref),savanna,9446,17503,0.19090138375759125,0.031678855419158936,0.2915734052658081,0.1592225283384323,0.5460804225038278,0.036272622023328885,-0.10938064251425227
dk2_wco2,Δvar($\mathcal{l}′$) WCO$_2$ (obs-ref),shrubland,9296,18548,0.1260613054037094,0.018630720674991608,0.2116914987564087,0.1074305847287178,0.5074865328075224,0.03976982359892488,-0.09678280466428495
dk2_wco2,Δvar($\mathcal{l}′$) WCO$_2$ (obs-ref),grassland,18792,48614,0.16142672300338745,0.020338529720902443,0.30373209714889526,0.14108818769454956,0.46451523898505015,0.024304655290437436,-0.058731891163107695
dk2_wco2,Δvar($\mathcal{l}′$) WCO$_2$ (obs-ref),cropland,10706,33170,0.07415551692247391,0.011598793789744377,0.2118149846792221,0.06255672127008438,0.2953366182511678,0.03942909154793188,0.03674190060660619
dk2_wco2,Δvar($\mathcal{l}′$) WCO$_2$ (obs-ref),barren,23384,150866,0.05877591669559479,0.0024074509274214506,0.15065224468708038,0.05636846646666527,0.37416280509957317,0.03602243723875756,-0.07031769212087693
dk2_wco2,Δvar($\mathcal{l}′$) WCO$_2$ (obs-ref),urban,560,5279,0.06304329633712769,-0.23024505376815796,1.3887970447540283,0.29328835010528564,0.21118157704406,0.03860703089740031,0.044869874202078365
dk2_wco2,Δvar($\mathcal{l}′$) WCO$_2$ (obs-ref),snow_ice,411,46,,,,,,,
dk1_sco2,Δ$\langle \mathcal{l}′ \rangle$ SCO$_2$ (obs-ref),ocean,1323704,150088,0.005551724229007959,-0.0012026828480884433,0.07923063635826111,0.0067544071935117245,0.08524994249661186,0.0053656115771552534,-0.03071230876345641
dk1_sco2,Δ$\langle \mathcal{l}′ \rangle$ SCO$_2$ (obs-ref),forest,4508,7339,0.0507347509264946,0.027878858149051666,0.15628190338611603,0.022855892777442932,0.14624785264468076,0.04079316538170984,-0.037028750482424384
dk1_sco2,Δ$\langle \mathcal{l}′ \rangle$ SCO$_2$ (obs-ref),savanna,9446,17503,0.012291088700294495,0.001920401817187667,0.10210170596837997,0.010370686650276184,0.10157211921109228,0.03410762394556161,-0.023130606085273293
dk1_sco2,Δ$\langle \mathcal{l}′ \rangle$ SCO$_2$ (obs-ref),shrubland,9296,18548,0.014229236170649529,0.0027163149788975716,0.08575577288866043,0.011512921191751957,0.13425243343908247,0.03153550076694546,-0.03489284230610522
dk1_sco2,Δ$\langle \mathcal{l}′ \rangle$ SCO$_2$ (obs-ref),grassland,18792,48614,0.014439447782933712,0.001078007509931922,0.0778595358133316,0.013361440040171146,0.17160955174720313,0.023280641963305718,-0.039718160611749515
dk1_sco2,Δ$\langle \mathcal{l}′ \rangle$ SCO$_2$ (obs-ref),cropland,10706,33170,0.010148284956812859,0.004550184588879347,0.09463226795196533,0.005598100367933512,0.05915635849259227,0.026269881090386766,0.014832753096557079
dk1_sco2,Δ$\langle \mathcal{l}′ \rangle$ SCO$_2$ (obs-ref),barren,23384,150866,0.011347736231982708,0.00069680210435763,0.07806188613176346,0.010650933720171452,0.13644217745640116,0.021589626083140398,-0.037008113408617295
dk1_sco2,Δ$\langle \mathcal{l}′ \rangle$ SCO$_2$ (obs-ref),urban,560,5279,0.007363239303231239,-0.0072624897584319115,0.1670617014169693,0.01462572906166315,0.0875468700343162,0.07522358716693599,-0.026447251461610154
dk1_sco2,Δ$\langle \mathcal{l}′ \rangle$ SCO$_2$ (obs-ref),snow_ice,411,46,,,,,,,
dk2_sco2,Δvar($\mathcal{l}′$) SCO$_2$ (obs-ref),ocean,1323704,150088,0.0296793095767498,-0.005566534120589495,0.5644844770431519,0.03524584323167801,0.06243899463152758,0.005356890603555068,-0.02262491392012443
dk2_sco2,Δvar($\mathcal{l}′$) SCO$_2$ (obs-ref),forest,4508,7339,0.19800852239131927,0.12584491074085236,1.066705346107483,0.07216361165046692,0.06765093276582829,0.03564937424935794,-0.014707474436089541
dk2_sco2,Δvar($\mathcal{l}′$) SCO$_2$ (obs-ref),savanna,9446,17503,0.02927590161561966,0.010327908210456371,0.707798957824707,0.018947992473840714,0.026770302872547263,0.029604661485035322,-0.005847990249950565
dk2_sco2,Δvar($\mathcal{l}′$) SCO$_2$ (obs-ref),shrubland,9296,18548,0.02143271639943123,0.006910763215273619,0.6293812394142151,0.014521952718496323,0.023073380344181153,0.02951553795410949,-0.011651301185465094
